img_IDS,Label
ImageID_33HMDMJ3,Temple
ImageID_V5POEX4O,Church
ImageID_89CCCCW6,Enough/Satisfied
ImageID_GNJXOWX5,Me
ImageID_7Q9LOP7R,Love
ImageID_0TEORZRD,Love
ImageID_8UNM9NYX,Me
ImageID_98WYAZT3,Enough/Satisfied
ImageID_P8COO08B,Me
ImageID_3EC735S1,Mosque
ImageID_G05CRJGS,You
ImageID_23PKBRGS,Me
ImageID_T0ABE4VH,You
ImageID_TM3KCVF4,Church
ImageID_CJE1R66N,Me
ImageID_5FY8IYFY,Church
ImageID_7T1EABI1,Mosque
ImageID_LMPKNM8Z,Enough/Satisfied
ImageID_LNKL1C3I,Church
ImageID_ZWHI74WD,Friend
ImageID_D7X8I1DM,Church
ImageID_E11HZH7B,Mosque
ImageID_KOY614B1,Mosque
ImageID_K88IY7IG,Friend
ImageID_9SNN4DA4,Temple
ImageID_V79RG31B,Church
ImageID_35X42C9M,Me
ImageID_5BIFZ0TT,Me
ImageID_7EUWUGNB,Temple
ImageID_A5PU3OU2,Love
ImageID_E7YZZFNT,Friend
ImageID_M743UW8Z,Me
ImageID_TNE1JMB0,You
ImageID_V0DXQTWP,Me
ImageID_AVBZ8BXA,Love
ImageID_1Y15INBO,Love
ImageID_OMB3XVGB,Seat
ImageID_MDO0IH2A,Me
ImageID_F2J2XWM9,Church
ImageID_7AI67WHJ,Mosque
ImageID_CALOICDN,Me
ImageID_1AI2FXB7,Friend
ImageID_QI9LHQK8,You
ImageID_18RXEH8D,Church
ImageID_3SOZI8SN,You
ImageID_5V0M2I5U,Seat
ImageID_W45CDVBV,Enough/Satisfied
ImageID_U0RDGPPK,Love
ImageID_WSY2BLGE,Temple
ImageID_KYHLJXUO,Seat
ImageID_BSOH0BC2,Friend
ImageID_SYHRKUEC,You
ImageID_MIY5IFO1,Church
ImageID_AIG2STTV,Friend
ImageID_T8YW9YOT,Mosque
ImageID_TKTKUJQ2,Friend
ImageID_TOKZTC1Z,Church
ImageID_ZJME63GP,Enough/Satisfied
ImageID_5YQ0EV18,Seat
ImageID_YJV8PHAS,Me
ImageID_RLF3ETHW,Love
ImageID_9YCOBOQR,Temple
ImageID_L2VKQZXX,Enough/Satisfied
ImageID_KUQ7CLGP,Me
ImageID_J57KNIIQ,Me
ImageID_M61JZCMH,Friend
ImageID_9NWJ1GN5,Church
ImageID_KH955CNY,You
ImageID_CG7MGDR3,Mosque
ImageID_N5S61TPH,Me
ImageID_NNXBUB3Q,Temple
ImageID_A7ZHF566,Friend
ImageID_08P1RFZI,Friend
ImageID_93G9NR3S,You
ImageID_IA5WE2TE,Church
ImageID_8WHWO4BF,Church
ImageID_3COIPDH2,Church
ImageID_BJT9REZ5,Church
ImageID_G82Q9CL0,Seat
ImageID_A6A7CFA5,Friend
